id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,labels
1,297144,665,289,572,746,1033.828125,439.359375,1.0298103094100952,0.9930676817893982,0,0,2005,1339,0
1,298874,677,292,557,743,1096.484375,774.109375,1.0259190797805786,0.992619514465332,0,0,2005,1339,0
1,300705,689,295,546,740,1033.828125,606.734375,1.0251530408859253,0.9937976002693176,0,0,2005,1339,0
1,302687,704,299,535,735,1221.796875,648.578125,1.0397202968597412,0.9936567544937134,0,0,2005,1339,0
1,303612,717,304,528,726,908.515625,481.203125,1.0339860916137695,0.990490198135376,0,0,2005,1339,0
1,305751,729,309,525,719,1096.484375,481.203125,1.0227105617523191,0.9938795566558838,0,0,2005,1339,0
1,307563,741,315,524,712,1033.828125,355.671875,1.0348280668258667,0.9921717047691344,0,0,2005,1339,0
0,309029,740,322,536,701,971.171875,857.796875,1.0476865768432615,0.991817831993103,0,0,2005,1339,0
1,309818,740,329,548,692,908.515625,899.640625,1.0347294807434082,0.9909571409225464,0,0,2005,1339,0
1,311131,735,338,565,679,1096.484375,481.203125,1.0244704484939575,0.9917450547218324,0,0,2005,1339,0
1,311953,724,335,589,676,1284.453125,439.359375,1.0374257564544678,0.9928989410400392,0,0,2005,1339,0
1,311991,715,329,611,676,1284.453125,397.515625,1.0303165912628174,0.9921654462814332,0,0,2005,1339,0
1,312540,709,323,632,679,971.171875,564.890625,1.0268511772155762,0.9936691522598268,0,0,2005,1339,0
1,312821,702,317,653,683,1284.453125,481.203125,1.031091332435608,0.9915061593055724,0,0,2005,1339,0
1,312689,696,312,674,686,908.515625,690.421875,1.0246154069900513,0.9942758679389954,0,0,2005,1339,0
1,311520,692,308,689,687,783.203125,857.796875,1.0342473983764648,0.9906947612762452,0,0,2005,1339,0
1,311511,690,305,705,687,1159.140625,774.109375,1.0352665185928345,0.9927902221679688,0,0,2005,1339,0
0,310721,688,304,716,685,1221.796875,397.515625,1.043281316757202,0.9913729429244996,0,0,2005,1339,0
0,310357,688,303,726,680,1221.796875,397.515625,1.0431404113769531,0.9923285841941832,0,0,2005,1339,0
1,309954,685,302,736,676,1096.484375,774.109375,1.0321530103683472,0.9930711388587952,0,0,2005,1339,0
1,308746,679,303,749,667,1347.109375,606.734375,1.0396015644073486,0.992790460586548,0,0,2005,1339,0
0,309153,674,304,762,658,1221.796875,439.359375,1.040125012397766,0.9918785691261292,0,0,2005,1339,0
0,309354,671,306,771,648,1221.796875,439.359375,1.0451406240463257,0.9918898940086364,0,0,2005,1339,0
0,310203,667,307,784,639,1096.484375,481.203125,1.0491293668746948,0.991714358329773,0,0,2005,1339,0
1,310967,665,311,795,626,845.859375,732.265625,1.032293438911438,0.9926812648773192,0,0,2005,1339,0
1,311987,664,315,805,614,908.515625,732.265625,1.0303115844726562,0.9929574131965636,0,0,2005,1339,0
1,313032,664,320,811,600,845.859375,732.265625,1.0416598320007324,0.9923047423362732,0,0,2005,1339,0
1,314033,665,327,816,584,720.546875,732.265625,1.03516685962677,0.9908962845802308,0,0,2005,1339,0
1,316026,669,333,817,579,1409.765625,690.421875,1.0386523008346558,0.9924628138542176,0,0,2005,1339,0
1,317713,672,339,819,578,1347.109375,690.421875,1.0446254014968872,0.9917280077934264,0,0,2005,1339,0
1,318876,676,347,821,575,1347.109375,732.265625,1.032226324081421,0.9914311766624452,0,0,2005,1339,0
1,319314,681,357,817,574,1284.453125,774.109375,1.0257065296173096,0.9899379014968872,0,0,2005,1339,0
1,321498,688,365,813,572,1221.796875,774.109375,1.0342901945114136,0.9915592074394226,0,0,2005,1339,0
1,322914,695,374,805,571,1096.484375,774.109375,1.038193702697754,0.9910157322883606,0,0,2005,1339,0
0,324053,704,383,794,569,1221.796875,564.890625,1.0447975397109983,0.990768313407898,0,0,2005,1339,0
1,325220,710,392,782,567,1221.796875,815.953125,1.0291661024093628,0.9910611510276794,0,0,2005,1339,0
1,325815,718,399,771,566,1472.421875,648.578125,1.027535915374756,0.9933367967605592,0,0,2005,1339,0
1,327189,728,410,755,568,1159.140625,690.421875,1.0280719995498655,0.9940786957740784,0,0,2005,1339,0
1,328486,734,419,748,569,1347.109375,941.484375,1.0266680717468262,0.9922550916671752,0,0,2005,1339,0
1,328856,736,429,750,568,908.515625,481.203125,1.0195387601852417,0.9937459230422974,0,0,2005,1339,0
1,329478,739,440,751,568,1284.453125,983.328125,1.026655912399292,0.9915078282356262,0,0,2005,1339,0
1,329075,743,452,747,564,1096.484375,815.953125,1.0363831520080566,0.991741418838501,0,0,2005,1339,0
